date,order_no,format,division_name,orderval,rcvval
2020-10-20,377.0,sm,Grocery Food,"4,035.6","4,035.6"
2020-10-21,378.0,sm,Grocery Non Food,"1,329.7","1,329.7"
2020-10-22,379.0,sm,Grocery Food,"1,186.2","1,186.2"
2020-10-22,380.0,sm,Grocery Food,"5,032.9","5,032.9"
2020-10-20,381.0,sm,Grocery Food,"5,053.6","5,053.6"
2020-10-22,382.0,sm,Grocery Food,"2,998.1","2,998.1"
2020-10-22,383.0,sm,Grocery Non Food,"2,394.9","2,394.9"
2020-10-24,384.0,sm,Grocery Non Food,"2,641.8","2,641.8"
2020-10-25,385.0,sm,Grocery Non Food,"2,406.0","2,406.0"
2020-10-20,386.0,sm,Grocery Food,847.4,847.4
2020-10-17,387.0,sm,Grocery Food,"6,632.1","6,632.1"
2020-10-20,388.0,sm,Grocery Non Food,"2,117.5","2,117.5"
2020-10-25,389.0,sm,Grocery Non Food,"1,995.7","1,995.7"
2020-10-22,390.0,sm,Grocery Food,"2,190.0","2,044.0"
2020-10-19,391.0,sm,Grocery Food,"2,847.2","2,847.2"
2020-10-17,392.0,sm,Grocery Food,"1,132.4","1,132.4"
2020-10-21,393.0,sm,Grocery Food,"17,996.7","17,996.7"
2020-10-23,394.0,sm,Grocery Non Food,"1,519.7","1,519.7"
2020-10-22,395.0,sm,Grocery Food,"1,807.7","1,807.7"
2020-10-19,396.0,sm,Grocery Non Food,829.2,829.2
2020-10-20,397.0,sm,Grocery Non Food,"5,120.5","5,120.5"
2020-10-17,398.0,sm,Grocery Food,"1,134.1","1,134.1"
2020-10-21,399.0,sm,Grocery Food,"4,331.7","3,970.7"
